Date,Active People,Active Members,Members Who Posted Messages,Members Who Read Messages,Members Who Liked Messages,Active Non-Members,Non-Members Who Posted Messages,Non-Members Who Read Messages,Non-Members Who Liked Messages,Messages Posted,Messages Posted by Members,Messages Posted by Non-Members,Messages Read,Messages Read by Members,Messages Read by Non-Members,Messages Liked,Messages Liked by Members,Messages Liked by Non-Members
2018-04-06,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2018-04-10,2,1,1,1,0,1,1,1,0,11,6,5,9,7,2,0,0,0
2018-04-11,3,1,1,1,0,2,2,1,0,8,2,6,2,2,0,0,0,0
2018-04-12,3,1,1,1,0,2,2,0,0,8,3,5,2,2,0,0,0,0
2018-04-13,3,1,1,1,0,2,2,0,0,9,4,5,4,4,0,0,0,0
2018-04-14,3,1,1,1,0,2,2,0,0,4,3,1,1,1,0,0,0,0
2018-04-15,2,1,1,1,0,1,1,0,0,4,3,1,2,2,0,0,0,0
2018-04-16,3,1,1,1,0,2,2,0,0,5,2,3,3,3,0,0,0,0
2018-04-17,3,1,1,1,0,2,2,0,0,6,1,5,2,2,0,0,0,0
2018-04-18,3,1,1,1,0,2,2,0,0,8,3,5,2,2,0,0,0,0
2018-04-19,3,1,1,1,0,2,2,0,0,8,3,5,2,2,0,0,0,0
2018-04-20,3,1,1,1,0,2,2,0,0,3,3,0,4,4,0,0,0,0
2018-04-21,2,1,1,1,0,1,1,0,0,4,3,1,2,2,0,0,0,0
2018-04-22,2,1,1,1,0,1,1,0,0,4,3,1,2,2,0,0,0,0
2018-04-23,3,1,1,1,0,2,2,0,0,8,3,5,1,1,0,0,0,0
2018-04-24,3,1,1,1,0,2,2,0,0,8,3,5,2,2,0,0,0,0
2018-04-25,3,1,1,1,0,2,2,1,0,7,3,4,5,2,3,0,0,0
2018-04-26,3,1,1,1,0,2,2,1,0,10,6,4,2,2,0,0,0,0
2018-04-27,3,1,1,1,0,2,2,0,0,9,3,6,2,2,0,0,0,0
2018-04-28,3,1,1,1,0,2,2,0,0,4,3,1,2,2,0,0,0,0
2018-04-29,2,1,1,1,0,1,1,0,0,4,3,1,1,1,0,0,0,0
2018-04-30,3,1,1,1,0,2,2,0,0,8,3,5,0,0,0,0,0,0
2018-05-01,3,1,1,1,0,2,2,0,0,3,1,2,1,1,0,0,0,0
2018-05-02,3,1,1,1,0,2,2,0,0,6,2,4,1,1,0,0,0,0
2018-05-03,3,1,1,1,0,2,2,2,0,8,3,5,9,3,6,0,0,0
2018-05-04,3,1,1,1,0,2,2,2,0,9,4,5,6,3,3,0,0,0
